"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"7","GO102_1573","GO102_158807","Penn Station","8807","1","143"
"7","GO102_1573","GO102_158808","Far Rockaway","8808","0","139"
"7","GO102_1573","GO102_158809","Atlantic Terminal","8809","1","140"
"7","GO102_1573","GO102_158810","Far Rockaway","8810","0","139"
"7","GO102_1573","GO102_158811","Atlantic Terminal","8811","1","140"
"7","GO102_1573","GO102_158812","Far Rockaway","8812","0","139"
"7","GO102_1573","GO102_158813","Atlantic Terminal","8813","1","140"
"7","GO102_1573","GO102_158814","Far Rockaway","8814","0","139"
"7","GO102_1573","GO102_158815","Atlantic Terminal","8815","1","140"
"7","GO102_1573","GO102_158816","Far Rockaway","8816","0","139"
"7","GO102_1573","GO102_158817","Atlantic Terminal","8817","1","140"
"7","GO102_1573","GO102_158818","Far Rockaway","8818","0","139"
"7","GO102_1573","GO102_158819","Atlantic Terminal","8819","1","140"
"7","GO102_1573","GO102_158850","Far Rockaway","8850","0","139"
"7","GO102_1573","GO102_158851","Atlantic Terminal","8851","1","140"
"7","GO102_1573","GO102_158852","Far Rockaway","8852","0","139"
"7","GO102_1573","GO102_158853","Atlantic Terminal","8853","1","140"
"7","GO102_1573","GO102_158854","Far Rockaway","8854","0","139"
"7","GO102_1573","GO102_158855","Atlantic Terminal","8855","1","140"
"7","GO102_1573","GO102_158856","Far Rockaway","8856","0","139"
"7","GO102_1573","GO102_158857","Atlantic Terminal","8857","1","140"
"7","GO102_1573","GO102_158858","Far Rockaway","8858","0","139"
"7","GO102_1573","GO102_158859","Atlantic Terminal","8859","1","140"
"7","GO102_1573","GO102_158860","Far Rockaway","8860","0","139"
"7","GO102_1573","GO102_158861","Atlantic Terminal","8861","1","140"
"7","GO102_1573","GO102_158862","Far Rockaway","8862","0","139"
"7","GO102_1573","GO102_158863","Atlantic Terminal","8863","1","140"
"7","GO102_1573","GO102_158864","Far Rockaway","8864","0","139"
"7","GO102_1573","GO102_158865","Atlantic Terminal","8865","1","140"
"7","GO102_1573","GO102_158866","Far Rockaway","8866","0","139"
"7","GO102_1573","GO102_158867","Atlantic Terminal","8867","1","140"
"7","GO102_1573","GO102_158868","Far Rockaway","8868","0","139"
"7","GO102_1573","GO102_158869","Atlantic Terminal","8869","1","140"
"7","GO102_1573","GO102_158870","Far Rockaway","8870","0","139"
"7","GO102_1573","GO102_158871","Atlantic Terminal","8871","1","140"
"7","GO102_1573","GO102_158872","Far Rockaway","8872","0","139"
"7","GO102_1573","GO102_158873","Atlantic Terminal","8873","1","140"
"9","GO102_159999313","METSGO102_15313","Penn Station","313","1","15"
"9","GO102_159999315","METSGO102_15315","Penn Station","315","1","15"
"9","GO102_159999351","METSGO102_15351","Penn Station","351","1","15"
"9","GO102_159999353","METSGO102_15353","Penn Station","353","1","15"
"9","GO102_159999355","METSGO102_15355","Penn Station","355","1","15"
"9","GO102_159999356","METSGO102_15356","Great Neck","356","0","14"
"9","GO102_159999358","METSGO102_15358","Great Neck","358","0","14"
"9","GO102_159999360","METSGO102_15360","Great Neck","360","0","14"
"9","GO102_159999362","METSGO102_15362","Great Neck","362","0","14"
"9","GO102_159999364","METSGO102_15364","Great Neck","364","0","17"
"9","GO102_159999366","METSGO102_15366","Great Neck","366","0","14"
"9","GO102_159999368","METSGO102_15368","Great Neck","368","0","14"
"9","GO102_159999370","METSGO102_15370","Great Neck","370","0","14"
"9","GO102_159999398","METSGO102_15398","Great Neck","398","0","14"
"9","GO102_159999400","METSGO102_15400","Port Washington","400","0","18"
"9","GO102_159999401","METSGO102_15401","Penn Station","401","1","19"
"9","GO102_159999402","METSGO102_15402","Port Washington","402","0","18"
"9","GO102_159999416","METSGO102_15416","Port Washington","416","0","18"
"9","GO102_159999418","METSGO102_15418","Port Washington","418","0","18"
"9","GO102_159999420","METSGO102_15420","Port Washington","420","0","18"
"9","GO102_159999422","METSGO102_15422","Port Washington","422","0","18"
"9","GO102_159999424","METSGO102_15424","Port Washington","424","0","18"
"9","GO102_159999426","METSGO102_15426","Port Washington","426","0","18"
"9","GO102_159999428","METSGO102_15428","Port Washington","428","0","18"
"9","GO102_159999430","METSGO102_15430","Port Washington","430","0","18"
"9","GO102_159999432","METSGO102_15432","Port Washington","432","0","18"
"9","GO102_159999433","METSGO102_15433","Penn Station","433","1","19"
"9","GO102_159999434","METSGO102_15434","Port Washington","434","0","18"
"9","GO102_159999435","METSGO102_15435","Penn Station","435","1","19"
"9","GO102_159999436","METSGO102_15436","Port Washington","436","0","18"
"9","GO102_159999437","METSGO102_15437","Penn Station","437","1","19"
"9","GO102_159999438","METSGO102_15438","Port Washington","438","0","18"
"9","GO102_159999439","METSGO102_15439","Penn Station","439","1","19"
"9","GO102_159999440","METSGO102_15440","Port Washington","440","0","18"
"9","GO102_159999441","METSGO102_15441","Penn Station","441","1","19"
"9","GO102_159999442","METSGO102_15442","Port Washington","442","0","18"
"9","GO102_159999443","METSGO102_15443","Penn Station","443","1","19"
"9","GO102_159999445","METSGO102_15445","Penn Station","445","1","19"
"9","GO102_159999447","METSGO102_15447","Penn Station","447","1","19"
"9","GO102_159999449","METSGO102_15449","Penn Station","449","1","19"
"9","GO102_159999451","METSGO102_15451","Penn Station","451","1","19"
"9","GO102_159999453","METSGO102_15453","Penn Station","453","1","19"
"9","GO102_159999455","METSGO102_15455","Penn Station","455","1","19"
"9","GO102_159999457","METSGO102_15457","Penn Station","457","1","19"
"9","GO102_159999459","METSGO102_15459","Penn Station","459","1","19"
"9","GO102_159999461","METSGO102_15461","Penn Station","461","1","19"
"9","GO102_159999463","METSGO102_15463","Penn Station","463","1","19"
